Data File:,'13211531 NB SB 2385N.rdf'
Site Code:,'17H NB SB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
79,NB,6/11/2015 1:41:14.213,8,636,13,59.11,197.61,198.00,1.43,18.41,22.86,3.71,4.36,15.58,3.71,4.37
80,SB,6/11/2015 1:41:16.747,2,583,2,60.30,214.48,214.58,3.39,8.56
81,SB,6/11/2015 1:41:59.195,7,633,13,60.96,42.35,42.45,-0.23,13.70,21.09,9.47,22.11,9.28,22.26
82,NB,6/11/2015 1:46:24.439,2,583,2,70.48,309.39,310.23,-5.25,8.67
83,NB,6/11/2015 1:46:41.329,2,588,3,71.49,16.81,16.89,-12.61,11.99
84,SB,6/11/2015 1:49:25.413,2,583,2,48.41,445.12,446.22,-3.62,9.11
85,NB,6/11/2015 1:49:35.973,2,588,3,70.93,174.53,174.64,-10.09,11.34
86,SB,6/11/2015 1:49:37.693,2,583,2,61.55,12.15,12.28,-6.85,8.79
87,SB,6/11/2015 1:49:59.650,2,583,2,71.72,21.86,21.96,-9.57,8.72
88,SB,6/11/2015 1:50:30.189,7,633,13,57.51,30.46,30.54,-0.26,13.35,21.40,8.82,21.88,9.33,21.95
89,NB,6/11/2015 1:53:00.095,3,605,8,53.64,204.01,204.12,-0.19,16.93,35.24
90,NB,6/11/2015 1:53:00.361,3,593,4,58.72,0.00,0.27,-1.82,38.13,4.46
91,NB,6/11/2015 1:53:02.679,6,629,12,54.10,1.82,2.32,-0.20,12.21,32.29,3.40,9.04,19.19
92,SB,6/11/2015 1:53:27.231,2,583,2,77.71,175.89,177.04,-14.44,9.38
93,SB,6/11/2015 1:54:42.438,7,622,10,54.16,75.13,75.21,-0.89,12.70,5.72,4.24,32.42,4.07,4.14
94,NB,6/11/2015 1:57:23.074,2,581,1,46.11,259.43,260.39,-10.83,5.48
95,NB,6/11/2015 1:58:30.871,3,593,4,71.49,67.72,67.80,10.15,21.12,4.88
96,SB,6/11/2015 2:02:52.978,2,583,2,65.33,489.74,490.54,-7.77,9.26
97,NB,6/11/2015 2:03:02.384,5,616,9,63.29,271.27,271.51,-0.13,18.29,4.20,18.49,23.19
98,SB,6/11/2015 2:03:55.584,5,613,9,58.72,62.51,62.61,-0.48,11.41,4.40,35.41,4.16
99,SB,6/11/2015 2:04:02.078,4,626,11,58.41,5.85,6.49,-1.11,12.83,24.74,8.90
100,SB,6/11/2015 2:06:28.838,5,613,9,58.56,146.22,146.76,-0.20,20.05,4.48,36.28,4.33
101,SB,6/11/2015 2:10:45.212,2,592,4,61.38,255.62,256.37,0.34,22.34
102,NB,6/11/2015 2:14:02.587,2,588,3,62.67,659.51,660.20,-4.64,10.32
103,SB,6/11/2015 2:15:04.577,2,583,2,83.52,259.12,259.37,8.83,8.77
104,SB,6/11/2015 2:18:00.270,6,618,10,57.14,175.62,175.69,-0.42,12.63,4.37,33.34,4.05,4.16
105,SB,6/11/2015 2:18:21.984,5,613,9,54.49,21.02,21.71,0.00,13.33,4.49,34.95,4.13
106,SB,6/11/2015 2:20:41.058,5,613,9,63.74,138.36,139.07,-1.74,15.81,4.46,33.18,4.14
107,SB,6/11/2015 2:24:42.915,6,618,10,60.06,241.24,241.86,-0.71,12.68,4.37,34.28,4.15,4.07
108,SB,6/11/2015 2:24:53.270,2,600,5,58.03,9.68,10.36,-1.04,12.32
109,SB,6/11/2015 2:29:40.695,2,588,3,55.44,287.28,287.42,-3.72,10.40
110,NB,6/11/2015 2:37:43.637,3,589,3,63.74,1420.94,1421.05,-0.79,12.00,9.33
111,NB,6/11/2015 2:37:44.190,2,581,1,39.97,0.32,0.55,11.23,6.03
112,SB,6/11/2015 2:42:53.174,7,633,13,59.42,792.35,792.48,-0.21,13.05,21.60,8.97,22.70,8.97,21.69
113,SB,6/11/2015 2:47:13.757,2,588,3,68.43,259.46,260.58,-8.78,10.56
114,NB,6/11/2015 2:53:07.635,5,613,9,56.28,923.34,923.44,-0.22,12.14,4.01,33.18,3.96
115,NB,6/11/2015 2:55:49.184,6,618,10,60.14,160.90,161.55,3.10,12.09,4.03,30.30,3.96,4.01
116,SB,6/11/2015 2:57:52.870,2,583,2,63.38,639.01,639.11,-8.29,8.90
117,SB,6/11/2015 3:03:48.999,7,633,13,59.26,356.03,356.13,-0.21,13.17,20.73,9.86,22.61,8.98,22.32
118,SB,6/11/2015 3:04:02.476,5,613,9,61.80,12.34,13.48,0.15,12.99,4.38,31.27,4.27
119,NB,6/11/2015 3:05:44.635,3,607,8,65.52,594.83,595.45,0.71,19.84,32.71
120,SB,6/11/2015 3:08:06.223,2,583,2,69.06,243.17,243.75,-12.67,7.52
121,NB,6/11/2015 3:09:21.260,5,613,9,64.11,216.08,216.63,0.42,16.87,4.12,36.74,3.99
122,NB,6/11/2015 3:11:06.719,5,613,9,60.88,104.80,105.46,0.65,17.11,4.05,32.02,3.92
123,NB,6/11/2015 3:11:28.284,5,614,9,64.57,20.92,21.56,0.00,12.65,4.07,4.42,24.58
124,SB,6/11/2015 3:15:08.959,7,633,13,64.02,422.66,422.74,-0.43,13.97,22.93,9.41,21.03,9.69,21.98
125,NB,6/11/2015 3:16:53.505,8,636,13,61.97,324.74,325.22,0.65,18.40,22.33,3.91,4.18,15.96,3.97,4.13
126,SB,6/11/2015 3:18:00.091,7,633,13,65.42,170.07,171.13,-0.27,14.02,22.49,9.31,21.82,9.40,22.02
127,NB,6/11/2015 3:18:44.450,4,608,8,64.02,110.15,110.95,0.80,13.59,4.09,36.46
128,SB,6/11/2015 3:20:04.713,2,592,4,62.67,123.58,124.62,-0.81,19.98
129,NB,6/11/2015 3:20:31.432,5,613,9,60.96,106.40,106.98,-2.90,18.32,4.19,18.58,3.83
130,NB,6/11/2015 3:21:30.111,2,600,5,59.66,58.18,58.68,3.14,13.47
131,NB,6/11/2015 3:21:30.335,2,600,5,29.40,0.07,0.22,0.28,17.90
132,NB,6/11/2015 3:22:37.311,2,600,5,53.13,66.56,66.98,-1.12,17.44
133,NB,6/11/2015 3:22:37.581,3,593,4,50.72,0.05,0.27,5.54,35.69,3.77
134,NB,6/11/2015 3:25:45.286,8,636,13,63.47,187.19,187.71,0.93,18.29,4.14,19.29,3.98,19.48,4.06,4.19
135,SB,6/11/2015 3:28:15.259,3,593,4,63.20,490.33,490.55,-3.36,19.93,4.44
136,NB,6/11/2015 3:29:18.864,2,600,5,63.74,212.80,213.58,1.80,19.02
