Data File:,'13211526 NB SB2 2391N.rdf'
Site Code:,'17C NB SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
95,NB,6/11/2015 3:28:28.670,3,589,3,30.44,0.00,0.20,3.04,11.19,11.69
96,NB,6/11/2015 3:32:08.219,3,582,1,48.57,219.05,219.55,-2.04,5.81,8.75
97,NB,6/11/2015 3:32:09.131,2,583,2,48.64,0.71,0.91,-3.63,8.21
98,NB,6/11/2015 3:32:28.455,2,600,5,18.52,19.21,19.32,-0.28,13.78
99,NB,6/11/2015 3:32:28.638,3,607,8,46.87,0.00,0.18,-0.39,25.48,20.66
100,NB,6/11/2015 3:34:57.718,2,600,5,26.90,148.41,149.08,0.81,18.18
101,NB,6/11/2015 3:36:11.328,3,582,1,13.46,73.15,73.61,-0.70,5.19,5.15
102,NB,6/11/2015 3:36:11.541,3,589,3,28.82,0.00,0.21,1.38,11.28,11.65
103,SB2,6/11/2015 3:36:42.938,5,613,9,45.17,1022.55,1022.80,1.28,14.11,3.37,24.47,3.21
104,NB,6/11/2015 3:37:46.843,2,583,2,49.00,94.77,95.30,-1.11,9.23
105,SB2,6/11/2015 3:38:35.170,2,588,3,16.00,111.55,112.23,-4.67,10.57
106,SB2,6/11/2015 3:38:35.587,2,588,3,29.47,0.00,0.42,-1.59,11.03
107,NB,6/11/2015 3:43:22.544,4,610,8,46.03,335.57,335.70,-1.96,14.89,24.54,2.93
108,SB2,6/11/2015 3:44:40.018,2,588,3,12.83,364.17,364.43,4.24,12.12
109,SB2,6/11/2015 3:44:40.140,4,609,8,44.86,0.00,0.12,1.31,10.32,26.40,3.85
110,NB,6/11/2015 3:46:06.143,2,583,2,51.64,162.97,163.60,-5.29,6.75
111,NB,6/11/2015 3:46:24.164,2,600,5,30.69,17.93,18.02,-1.01,17.23
112,NB,6/11/2015 3:52:47.763,2,583,2,48.43,383.21,383.60,-7.30,6.66
113,NB,6/11/2015 3:52:53.040,2,583,2,45.29,5.18,5.28,-4.82,6.64
114,NB,6/11/2015 3:58:51.267,2,600,5,49.36,358.13,358.23,1.96,13.57
115,NB,6/11/2015 3:58:51.500,2,592,4,48.85,0.05,0.23,2.07,25.26
116,NB,6/11/2015 3:59:19.730,2,583,2,45.91,27.88,28.23,-0.48,8.79
117,NB,6/11/2015 3:59:19.974,4,602,7,45.72,0.11,0.24,-0.88,25.24,3.89,3.85
118,NB,6/11/2015 4:01:59.366,2,581,1,13.30,158.90,159.39,-3.99,5.16
119,NB,6/11/2015 4:01:59.582,3,605,8,29.42,0.00,0.22,-0.14,12.55,10.89
120,SB2,6/11/2015 4:03:20.119,2,588,3,47.94,1119.37,1119.98,0.85,11.41
121,SB2,6/11/2015 4:03:20.505,3,584,2,47.88,0.22,0.39,0.00,6.63,16.86
122,NB,6/11/2015 4:05:41.495,2,583,2,63.59,221.37,221.91,-10.02,8.78
123,NB,6/11/2015 4:06:51.704,2,583,2,56.90,70.11,70.21,-7.44,7.45
124,SB2,6/11/2015 4:07:41.582,2,583,2,51.72,260.74,261.08,-8.07,6.62
125,NB,6/11/2015 4:08:51.217,2,583,2,43.35,119.42,119.51,-3.81,6.47
126,SB2,6/11/2015 4:08:59.232,2,583,2,51.64,77.56,77.65,6.64,6.46
127,NB,6/11/2015 4:11:27.141,2,581,1,12.23,155.82,155.92,-1.21,4.51
128,NB,6/11/2015 4:11:34.359,2,592,4,28.87,6.97,7.22,2.63,20.04
129,NB,6/11/2015 4:14:36.776,2,600,5,45.47,181.95,182.42,3.19,13.16
130,NB,6/11/2015 4:14:46.143,2,583,2,47.27,9.17,9.37,-2.86,6.42
131,NB,6/11/2015 4:16:47.450,3,601,6,46.22,121.21,121.31,-5.01,13.87,3.72
132,NB,6/11/2015 4:17:40.149,2,583,2,45.85,52.44,52.70,0.87,9.72
133,NB,6/11/2015 4:18:11.636,2,600,5,31.00,31.34,31.49,-0.99,19.41
134,SB2,6/11/2015 4:18:14.620,3,589,3,49.43,555.30,555.39,0.60,10.48,16.05
135,SB2,6/11/2015 4:18:16.795,2,600,5,47.13,1.81,2.17,3.34,12.59
136,SB2,6/11/2015 4:18:17.025,2,592,4,47.47,0.05,0.23,0.00,24.84
137,NB,6/11/2015 4:19:05.899,2,583,2,44.51,53.83,54.26,-5.57,6.79
138,NB,6/11/2015 4:19:22.000,4,587,2,45.91,16.00,16.10,-0.65,9.73,32.86,3.17
139,NB,6/11/2015 4:19:22.192,2,592,4,45.72,0.00,0.19,0.97,26.20
140,NB,6/11/2015 4:20:40.972,3,582,1,13.05,78.39,78.78,0.06,5.22,5.09
141,NB,6/11/2015 4:20:41.195,3,589,3,28.92,0.00,0.22,1.01,11.30,11.74
142,NB,6/11/2015 4:22:29.754,2,583,2,48.57,108.03,108.56,-2.30,6.51
143,NB,6/11/2015 4:23:20.355,2,588,3,52.53,50.51,50.60,-1.25,10.11
144,NB,6/11/2015 4:23:22.357,2,583,2,50.62,1.87,2.00,-5.67,8.84
145,NB,6/11/2015 4:23:42.684,2,600,5,13.62,20.21,20.33,2.51,12.75
146,NB,6/11/2015 4:23:42.834,3,606,8,44.86,0.00,0.15,0.00,7.20,27.22
147,SB2,6/11/2015 4:26:04.969,2,583,2,46.35,467.59,467.94,-2.01,6.47
148,NB,6/11/2015 4:27:34.533,3,582,1,13.76,231.17,231.70,-0.82,5.22,5.17
149,NB,6/11/2015 4:27:34.743,3,589,3,29.71,0.00,0.21,1.40,11.24,11.83
150,NB,6/11/2015 4:31:46.156,2,600,5,48.43,250.89,251.41,3.03,15.08
151,NB,6/11/2015 4:33:18.163,2,583,2,45.10,91.80,92.01,-4.12,6.72
152,NB,6/11/2015 4:36:13.747,5,616,9,48.92,175.48,175.58,-0.61,14.03,3.53,14.24,17.67
153,NB,6/11/2015 4:38:21.457,2,600,5,15.85,127.02,127.71,-3.77,12.31
154,SB2,6/11/2015 4:38:21.550,2,600,5,30.80,736.49,736.58,0.52,12.48
155,NB,6/11/2015 4:38:21.623,2,592,4,26.75,0.00,0.17,4.51,23.94
156,NB,6/11/2015 4:39:24.021,2,600,5,18.63,61.81,62.40,-0.22,13.82
157,NB,6/11/2015 4:39:24.203,3,607,8,47.20,0.00,0.18,0.40,25.49,20.44
158,SB2,6/11/2015 4:39:46.986,3,585,2,45.53,85.16,85.44,0.45,9.62,18.25
159,SB2,6/11/2015 4:39:49.927,2,583,2,48.29,2.52,2.94,-5.15,6.60
160,NB,6/11/2015 4:42:55.331,2,600,5,28.11,210.46,211.13,1.48,19.08
161,NB,6/11/2015 4:47:09.634,3,605,8,47.20,253.84,254.30,-0.60,10.05,20.29
162,SB2,6/11/2015 4:47:23.138,2,583,2,55.48,453.12,453.21,-4.56,8.09
163,NB,6/11/2015 4:50:07.778,2,583,2,45.72,177.70,178.14,-3.75,7.70
164,NB,6/11/2015 4:50:07.983,3,594,4,46.16,0.09,0.21,0.00,27.32,9.58
165,NB,6/11/2015 4:50:20.710,2,583,2,50.02,12.18,12.73,-7.17,6.74
166,NB,6/11/2015 4:51:34.054,3,582,1,13.87,73.25,73.34,1.10,5.21,5.15
167,NB,6/11/2015 4:51:34.262,3,589,3,29.84,0.00,0.21,2.75,11.87,11.11
168,NB,6/11/2015 4:51:38.829,2,583,2,47.00,4.06,4.57,1.47,9.35
169,NB,6/11/2015 4:52:11.279,2,600,5,12.39,32.31,32.45,0.53,14.44
170,NB,6/11/2015 4:52:11.516,2,600,5,28.67,0.00,0.24,0.84,16.31
171,NB,6/11/2015 4:52:29.264,7,623,10,46.68,17.36,17.75,-0.16,15.20,3.45,23.38,4.04,3.96,4.04
172,NB,6/11/2015 4:53:44.565,2,583,2,44.15,74.51,75.30,-3.01,8.64
173,NB,6/11/2015 4:54:03.415,2,600,5,46.74,18.72,18.85,-1.16,15.32
