Data File:,'13211515 WB EB 2 2392N.rdf'
Site Code:,'13211515 WB EB 2'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
109,WB,5/28/2015 6:02:33.510,2,583,2,61.27,25.35,25.48,-1.32,7.63
110,WB,5/28/2015 6:03:49.243,6,618,10,62.76,75.65,75.73,-1.13,12.27,4.41,33.63,4.01,4.32
111,WB,5/28/2015 6:05:05.393,2,583,2,57.68,75.53,76.15,-6.14,8.08
112,WB,5/28/2015 6:06:06.601,2,583,2,79.79,61.11,61.21,-20.43,8.46
113,WB,5/28/2015 6:07:20.374,2,583,2,57.78,73.70,73.77,-3.99,8.38
114,WB,5/28/2015 6:09:22.666,2,600,5,66.10,122.19,122.29,-4.69,15.87
115,WB,5/28/2015 6:10:46.851,2,583,2,69.67,84.02,84.19,-13.30,8.68
116,WB,5/28/2015 6:11:19.383,2,583,2,73.17,32.45,32.53,-29.22,8.39
117,WB,5/28/2015 6:13:41.801,2,588,3,60.38,142.34,142.42,8.44,11.73
118,WB,5/28/2015 6:13:56.737,2,583,2,61.60,14.80,14.94,-8.86,7.93
119,WB,5/28/2015 6:14:49.594,2,583,2,59.11,52.77,52.86,-4.18,8.56
120,EB 2,5/28/2015 6:15:46.054,3,605,8,67.43,1392.33,1392.42,-1.33,13.08,16.79
121,WB,5/28/2015 6:17:04.282,2,600,5,58.28,134.59,134.69,-6.50,12.99
122,WB,5/28/2015 6:17:04.353,2,600,5,55.39,0.00,0.07,-2.37,12.45
123,WB,5/28/2015 6:17:40.283,3,589,3,61.95,35.78,35.93,0.44,11.20,12.84
124,WB,5/28/2015 6:17:51.655,2,588,3,73.98,11.11,11.37,-9.08,11.49
125,WB,5/28/2015 6:18:01.881,2,583,2,67.03,10.12,10.23,3.67,7.21
126,WB,5/28/2015 6:18:02.016,2,592,4,67.43,0.06,0.13,1.26,21.46
127,WB,5/28/2015 6:18:27.636,2,600,5,57.58,25.40,25.62,0.58,14.40
128,WB,5/28/2015 6:18:53.870,2,588,3,82.75,26.06,26.23,-9.26,10.56
129,WB,5/28/2015 6:23:17.981,2,583,2,62.29,264.02,264.11,-4.83,8.67
130,WB,5/28/2015 6:23:19.934,2,583,2,62.76,1.86,1.95,-5.86,9.10
131,WB,5/28/2015 6:23:26.697,2,588,3,62.18,6.66,6.76,11.37,11.48
132,WB,5/28/2015 6:23:35.766,2,583,2,67.43,8.94,9.07,-8.73,9.06
133,EB 2,5/28/2015 6:23:44.910,2,583,2,62.41,478.55,478.86,-11.43,9.06
134,WB,5/28/2015 6:24:09.666,2,583,2,63.11,33.81,33.90,-3.87,8.46
135,WB,5/28/2015 6:25:02.253,2,583,2,71.46,52.50,52.59,-15.73,8.88
136,WB,5/28/2015 6:26:11.907,2,583,2,65.20,69.57,69.65,-10.89,8.71
137,WB,5/28/2015 6:27:08.175,2,600,5,66.49,56.18,56.27,5.02,13.01
138,WB,5/28/2015 6:27:40.405,2,583,2,64.82,32.10,32.23,-9.32,8.78
139,WB,5/28/2015 6:28:18.934,3,601,6,64.70,38.44,38.53,-3.54,15.21,4.79
140,WB,5/28/2015 6:28:29.281,2,583,2,59.74,10.14,10.35,0.00,8.07
141,WB,5/28/2015 6:28:31.660,2,583,2,61.95,2.29,2.38,-3.58,8.63
142,WB,5/28/2015 6:28:34.562,2,583,2,60.60,2.81,2.90,3.66,8.06
143,WB,5/28/2015 6:29:49.519,2,583,2,61.15,74.87,74.96,-1.09,9.16
144,WB,5/28/2015 6:30:38.844,2,588,3,60.38,49.22,49.33,3.53,11.03
145,WB,5/28/2015 6:30:44.590,2,583,2,58.79,5.62,5.75,-8.11,8.59
146,WB,5/28/2015 6:30:55.629,2,583,2,61.27,10.94,11.04,2.66,7.59
147,WB,5/28/2015 6:30:57.797,2,588,3,61.27,2.08,2.17,2.67,11.38
148,WB,5/28/2015 6:30:59.518,2,588,3,62.06,1.59,1.72,4.96,10.69
149,WB,5/28/2015 6:31:00.909,2,588,3,60.71,1.27,1.39,2.61,11.35
150,EB 2,5/28/2015 6:31:35.418,2,583,2,69.96,470.41,470.51,-10.11,8.73
151,WB,5/28/2015 6:32:33.308,2,583,2,64.45,92.27,92.40,34.68,7.17
152,WB,5/28/2015 6:32:33.426,2,583,2,65.45,0.04,0.12,6.92,7.18
153,EB 2,5/28/2015 6:33:20.849,2,583,2,62.64,105.35,105.43,-6.53,9.73
154,WB,5/28/2015 6:33:34.536,2,588,3,58.49,61.04,61.11,-2.87,12.07
