Data File:,'13211515 EB 1 6599.rdf'
Site Code:,'13211515 EB 1'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'52'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
143,EB 1,5/28/2015 7:01:39.017,2,583,2,63.47,16.65,16.80,-0.00,9.20
144,EB 1,5/28/2015 7:02:39.149,2,583,2,56.42,60.03,60.13,5.44,8.80
145,EB 1,5/28/2015 7:03:07.323,2,588,3,61.38,28.07,28.17,5.99,10.31
146,EB 1,5/28/2015 7:03:29.875,2,583,2,56.99,22.44,22.55,5.92,8.34
147,EB 1,5/28/2015 7:03:48.802,2,583,2,60.71,18.83,18.93,0.00,9.46
148,EB 1,5/28/2015 7:03:58.975,2,583,2,62.76,10.07,10.17,7.35,8.98
149,EB 1,5/28/2015 7:04:08.062,2,583,2,68.96,8.99,9.09,-0.00,9.33
150,EB 1,5/28/2015 7:05:07.089,3,605,8,59.42,58.94,59.03,-2.04,15.64,36.83
151,EB 1,5/28/2015 7:05:13.652,5,627,11,62.06,5.96,6.56,-1.65,13.87,21.68,11.20,25.42
152,EB 1,5/28/2015 7:06:16.133,3,589,3,50.32,61.66,62.48,1.20,11.62,16.70
153,EB 1,5/28/2015 7:07:50.898,2,588,3,58.79,94.38,94.77,-4.48,11.72
154,EB 1,5/28/2015 7:07:53.984,2,583,2,63.47,2.95,3.09,-7.70,8.58
155,EB 1,5/28/2015 7:08:03.384,2,588,3,56.99,9.31,9.40,-0.00,11.63
156,EB 1,5/28/2015 7:10:32.446,4,626,11,52.69,148.92,149.06,0.00,14.04,8.76,26.23
157,EB 1,5/28/2015 7:10:34.005,2,583,2,56.99,0.92,1.56,-0.00,8.69
158,EB 1,5/28/2015 7:10:56.839,2,600,5,64.20,22.73,22.83,-5.02,13.61
159,EB 1,5/28/2015 7:11:39.637,2,583,2,65.71,42.65,42.80,9.17,8.27
160,EB 1,5/28/2015 7:12:10.728,2,583,2,59.42,31.01,31.09,0.00,9.26
161,EB 1,5/28/2015 7:13:16.587,2,583,2,66.49,65.75,65.86,-0.00,9.57
162,EB 1,5/28/2015 7:14:34.834,3,601,6,58.18,78.15,78.25,-2.55,15.39,4.58
163,EB 1,5/28/2015 7:14:40.525,2,583,2,56.42,5.46,5.69,5.44,8.80
