  Data For Station: 43050050M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Time,Lane,Speed,Axles,Length,A Bin,S Bin,L Bin,G Bin,H Bin,1_2,2_3,3_4,4_5,5_6,6_7,7_8,8_9,9_10,10_11,11_12,12_13,13 - 14,14 - 15,15 - 16,L1 Class,Mods,ID64,ID16,Samp,Change,L2 Class,Mods,ID64,ID16,Samp,Change,S.V.M.
,7/12/2014,4:34:53.98,1,53.6,2,9.4,2,8,2,7,7,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:34:57.87,1,54.6,2,9.5,2,7,2,8,8,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:38:27.76,1,54.4,2,10.2,3,11,2,8,8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:38:30.74,1,54.9,2,10,3,6,2,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:39:00.98,1,61.5,4,28.4,3,9,3,8,8,12.3,13,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:41:20.11,1,54.9,5,64.9,9,9,5,8,8,20.2,4.3,30.3,10.2,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:42:41.28,1,59.4,2,9.3,2,9,2,7,7,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:43:18.84,1,56.4,2,8.6,2,9,2,8,8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:45:13.56,1,61.5,2,10.1,3,8,2,7,7,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:45:26.39,1,59.8,2,8.6,2,7,2,8,8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:47:57.17,1,59.1,2,10.8,3,10,2,8,8,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:48:02.80,1,55.8,2,9,2,8,2,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:50:14.00,1,63.3,2,9.5,2,7,2,8,8,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:52:28.41,1,59.8,2,8.7,2,8,2,8,8,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:53:19.59,1,55.7,2,9.4,2,9,2,6,6,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:53:57.81,1,56.9,2,9.9,2,9,2,7,7,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:54:49.44,1,59.2,5,56,9,8,5,8,8,16.9,4.2,30.8,4.1,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:54:51.64,1,59.1,2,10.5,3,8,2,6,6,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:55:38.80,1,56,2,9.3,2,8,2,8,8,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:57:01.86,1,58.2,2,10.8,3,7,2,8,8,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:57:41.32,1,52.8,2,9.2,2,8,2,7,7,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:57:47.80,1,52.5,2,9.1,2,9,2,8,8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:58:14.90,1,20.3,2,10.8,3,7,2,7,7,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:01:04.77,1,52.8,7,88.5,13,8,6,8,8,12.4,4.3,34.4,4,10.9,22.5,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:03:38.96,1,53.3,2,9.3,2,9,2,8,8,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:03:51.75,1,58.2,2,9.1,2,10,2,8,8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:05:11.59,1,58.8,2,9.9,2,8,2,7,7,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:06:06.26,1,59.4,2,8.7,2,9,2,7,7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:06:26.19,1,61.1,2,9,2,5,2,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:08:14.44,1,55.7,5,54.8,9,8,5,8,8,15.5,4.2,31.1,4,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:08:29.78,1,56.4,2,11.1,3,10,2,8,8,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:08:40.68,1,55.5,5,61.2,9,8,5,7,7,17.3,4.2,35.6,4.1,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:10:16.63,1,51.8,2,8.9,2,9,2,8,8,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:10:18.82,1,53.6,2,8.5,2,9,2,2,2,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:11:48.80,1,63.6,5,58.9,9,9,5,8,8,17.1,4.6,33.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:11:52.48,1,62.5,2,8.9,2,9,2,7,7,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:12:06.97,1,38.6,4,46.4,3,10,4,8,8,14.4,29,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
