Data File:,'13211514 WB EB 2 2393N.rdf'
Site Code:,'13211514 WB EB2'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11C'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
181,WB,5/28/2015 6:43:21.587,4,608,8,58.69,20.69,20.79,1.19,19.05,4.51,29.58
182,WB,5/28/2015 6:43:22.260,2,588,3,71.30,0.06,0.67,25.01,11.40
183,WB,5/28/2015 6:43:44.585,2,600,5,62.64,22.22,22.33,4.65,18.95
184,WB,5/28/2015 6:43:46.855,2,583,2,67.29,2.06,2.27,-11.89,8.76
185,WB,5/28/2015 6:44:10.081,3,601,6,66.10,23.14,23.23,1.89,15.68,4.61
186,WB,5/28/2015 6:44:28.026,2,588,3,61.83,17.74,17.94,-4.19,12.18
187,WB,5/28/2015 6:44:54.601,2,588,3,62.88,26.44,26.58,2.70,12.18
188,WB,5/28/2015 6:45:28.926,6,620,10,62.64,34.19,34.32,-1.65,20.37,4.74,19.24,16.30,3.90
189,WB,5/28/2015 6:45:32.025,2,583,2,61.15,2.40,3.10,-6.76,8.74
190,WB,5/28/2015 6:45:40.045,2,583,2,60.60,7.92,8.02,-22.42,7.06
191,WB,5/28/2015 6:46:42.758,5,613,9,57.09,62.63,62.71,3.11,19.05,4.44,24.14,4.19
192,WB,5/28/2015 6:46:45.220,2,588,3,56.71,1.85,2.46,0.68,11.69
193,WB,5/28/2015 6:46:49.125,2,600,5,59.21,3.76,3.91,0.70,12.96
194,WB,5/28/2015 6:46:51.593,2,583,2,59.11,2.32,2.47,-7.53,9.40
195,WB,5/28/2015 6:46:53.300,2,588,3,55.95,1.60,1.71,0.65,11.90
196,WB,5/28/2015 6:47:07.498,2,600,5,65.71,14.05,14.20,2.81,13.37
197,WB,5/28/2015 6:48:06.414,2,583,2,59.42,58.78,58.92,-7.12,8.87
198,WB,5/28/2015 6:48:07.054,2,583,2,58.18,0.54,0.64,-8.66,8.75
199,WB,5/28/2015 6:48:09.040,2,600,5,61.38,1.88,1.99,-0.75,13.41
200,WB,5/28/2015 6:48:10.258,2,588,3,60.17,1.07,1.22,-0.93,10.26
201,WB,5/28/2015 6:48:29.628,2,583,2,70.70,19.25,19.37,-16.83,8.91
202,WB,5/28/2015 6:48:42.983,2,600,5,63.23,13.27,13.36,-2.31,14.27
203,WB,5/28/2015 6:48:44.017,2,583,2,65.84,0.88,1.03,-13.62,8.91
204,WB,5/28/2015 6:50:01.945,2,600,5,60.71,77.84,77.93,0.73,13.49
205,WB,5/28/2015 6:50:04.249,2,583,2,62.88,2.15,2.30,-12.53,9.27
206,WB,5/28/2015 6:51:40.505,2,600,5,63.47,96.16,96.26,3.65,12.41
207,WB,5/28/2015 6:51:53.744,3,605,8,66.89,13.11,13.24,1.89,13.46,14.56
208,WB,5/28/2015 6:51:58.235,2,600,5,69.96,4.20,4.49,1.12,13.46
209,WB,5/28/2015 6:52:37.556,2,588,3,70.85,39.19,39.32,-4.62,10.02
210,WB,5/28/2015 6:53:19.396,2,583,2,57.29,41.74,41.84,-11.79,8.78
211,WB,5/28/2015 6:53:35.176,2,588,3,75.82,15.67,15.78,0.00,12.07
212,WB,5/28/2015 6:53:49.302,5,613,9,63.47,14.02,14.13,-0.62,12.87,4.30,33.32,4.06
213,WB,5/28/2015 6:53:52.262,2,588,3,63.11,2.38,2.96,3.10,10.74
214,WB,5/28/2015 6:54:52.789,2,583,2,55.95,60.41,60.53,-2.62,8.72
215,EB2,5/28/2015 6:55:00.625,2,583,2,68.25,870.57,870.72,-8.60,9.53
216,WB,5/28/2015 6:56:39.317,4,610,8,62.06,106.42,106.53,0.86,12.52,18.11,5.99
217,WB,5/28/2015 6:56:41.318,2,588,3,65.45,1.60,2.00,-4.16,11.67
218,WB,5/28/2015 6:57:14.463,2,600,5,59.00,33.02,33.14,0.00,14.33
219,WB,5/28/2015 6:57:28.618,2,583,2,66.36,13.99,14.16,-11.14,8.97
220,WB,5/28/2015 6:59:04.656,2,592,4,60.17,95.95,96.04,-1.44,19.63
221,WB,5/28/2015 6:59:37.140,2,583,2,65.33,32.26,32.48,-19.14,9.16
222,WB,5/28/2015 6:59:42.661,2,583,2,65.84,5.43,5.52,-10.14,8.45
223,WB,5/28/2015 6:59:46.256,2,588,3,63.71,3.51,3.59,-2.78,12.10
224,WB,5/28/2015 6:59:50.304,2,583,2,58.28,3.92,4.05,-9.48,8.04
225,WB,5/28/2015 7:00:58.103,2,583,2,65.84,67.71,67.80,-20.97,9.10
226,WB,5/28/2015 7:01:43.111,2,583,2,58.38,44.91,45.01,-6.03,8.54
227,WB,5/28/2015 7:01:52.339,2,581,1,61.04,9.13,9.23,-16.18,5.40
228,WB,5/28/2015 7:02:34.427,2,600,5,62.99,42.03,42.09,0.00,14.40
229,WB,5/28/2015 7:02:44.526,3,605,8,59.95,9.94,10.10,3.59,13.54,16.08
230,WB,5/28/2015 7:03:26.351,2,588,3,57.48,41.49,41.82,-1.64,10.11
231,WB,5/28/2015 7:03:27.430,2,583,2,57.48,0.96,1.08,-14.45,8.31
232,WB,5/28/2015 7:04:40.488,3,589,3,66.49,72.96,73.06,-9.59,11.17,11.84
233,WB,5/28/2015 7:04:41.742,2,600,5,66.10,1.02,1.25,-2.63,14.28
234,WB,5/28/2015 7:05:02.621,2,600,5,59.95,20.73,20.88,2.66,14.32
235,WB,5/28/2015 7:07:07.809,8,636,13,59.63,125.03,125.19,-0.11,16.65,4.20,30.03,3.89,13.01,11.97,4.35
236,WB,5/28/2015 7:07:13.654,2,583,2,58.18,4.89,5.85,-11.70,9.27
237,WB,5/28/2015 7:07:14.644,2,600,5,55.39,0.88,0.99,0.55,13.55
