Data For Site: 01200000
       Info 1: 002240
       Info 2: 352.820   83043
Storage Mode : Raw
Start Time   : 06/15/15 at 00:00
Stop Time    : 06/16/15 at 00:00
Data collected by a Phoenix (ver 2.39)

1:  Info: ASCENDING 50                   Mode: Enhanced         Sensors: Pres-Pres       Sensor Spacing:  16.0'  Loop Length:   6.0'  Extra Info:
2:  Info: DESCENDING50                   Mode: Enhanced         Sensors: Pres-Pres       Sensor Spacing:  16.0'  Loop Length:   6.0'  Extra Info:
1:  05:40:59.04   69.6mph, Length= 11.5',
2:  05:40:59.64   65.5mph, Length= 13.1',
2:  05:41:34.90   68.2mph, Length= 12.4',
2:  05:42:00.09  SnMis #2      Info:
1:  05:42:00.67   66.7mph, Length= 14.0',
1:  05:42:27.99   66.9mph, Length= 12.7',
1:  05:42:44.49   65.4mph, Length= 15.3',
1:  05:44:44.83   69.6mph, Length= 18.2',
1:  05:44:52.48   68.2mph, Length= 12.3',
1:  05:45:09.31   65.6mph, Length= 12.1',
2:  05:45:55.93   61.8mph, Length= 69.2',
1:  05:46:08.17   59.7mph, Length= 28.3',
2:  05:46:36.67   66.8mph, Length= 50.8',
2:  05:46:42.61   65.6mph, Length= 13.4',
1:  05:47:16.23   71.0mph, Length= 15.6',
1:  05:47:53.78   61.8mph, Length= 12.2',
1:  05:49:18.87   64.2mph, Length= 17.0',
1:  05:49:22.61   61.9mph, Length= 12.3',
2:  05:49:35.73   66.8mph, Length= 13.5',
1:  05:49:49.47   66.8mph, Length= 48.1',
1:  05:50:05.18   64.2mph, Length= 14.8',
1:  05:50:12.47   66.7mph, Length= 12.8',
1:  05:50:26.10   63.0mph, Length= 46.2',
1:  05:50:33.85   64.3mph, Length= 13.3',
1:  05:50:36.62   71.2mph, Length= 12.9',
1:  05:50:46.54   66.9mph, Length= 14.6',
1:  05:51:31.51   69.6mph, Length= 12.5',
1:  05:51:36.43   69.5mph, Length= 13.5',
1:  05:52:54.90   65.5mph, Length= 12.7',
2:  05:53:51.72   66.9mph, Length= 11.9',
1:  05:54:00.69   57.5mph, Length= 29.2',
1:  05:54:02.36   62.9mph, Length=  7.2',
1:  05:54:04.19   61.9mph, Length= 13.2',
1:  05:56:19.30   69.7mph, Length= 12.9',
1:  05:56:26.72   71.2mph, Length= 13.3',
1:  05:56:45.53   66.8mph, Length= 17.6',
1:  05:56:54.49   68.2mph, Length= 15.8',
1:  05:57:12.48   71.2mph, Length= 13.6',
1:  05:57:14.47   71.0mph, Length= 15.4',
1:  05:57:42.00   69.6mph, Length= 17.8',
2:  05:57:43.19   69.6mph, Length= 12.5',
1:  05:57:54.01   69.6mph, Length= 13.0',
1:  05:58:26.33   68.2mph, Length= 16.4',
2:  06:00:57.54   63.1mph, Length= 17.1',
2:  06:01:23.35   71.2mph, Length= 12.2',
2:  06:01:26.71   72.6mph, Length= 13.0',
1:  06:01:34.11   71.0mph, Length= 13.9',
1:  06:01:57.71   63.0mph, Length= 16.5',
1:  06:01:59.92   63.0mph, Length= 14.8',
1:  06:02:09.31   65.5mph, Length= 18.6',
2:  06:02:22.56   69.7mph, Length= 14.0',
2:  06:02:41.81   65.4mph, Length= 11.1',
1:  06:03:03.41   65.6mph, Length= 13.3',
1:  06:04:19.60   65.4mph, Length= 14.3',
1:  06:05:53.53   55.6mph, Length=  1.9',
1:  06:06:09.01   68.2mph, Length= 12.1',
1:  06:06:45.43   68.2mph, Length= 15.4',
1:  06:07:37.58   75.9mph, Length= 15.8',
1:  06:09:14.87   69.6mph, Length= 13.2',
1:  06:09:20.19   69.5mph, Length= 15.5',
1:  06:09:25.84   65.4mph, Length= 15.5',
1:  06:09:44.24   66.8mph, Length= 17.0',
1:  06:10:31.08   65.5mph, Length= 12.5',
1:  06:11:16.14   65.4mph, Length= 14.6',
1:  06:11:26.29   71.1mph, Length= 14.6',
1:  06:12:21.23   66.8mph, Length= 20.1',
1:  06:12:31.37   58.7mph, Length= 12.5',
2:  06:13:32.08   71.0mph, Length= 15.4',
2:  06:14:18.07   66.9mph, Length= 12.9',
2:  06:14:18.95   65.4mph, Length= 16.8',
2:  06:14:27.26   71.2mph, Length= 12.0',
1:  06:15:08.31   71.0mph, Length= 12.7',
1:  06:15:27.94   63.0mph, Length= 61.6',
1:  06:15:32.82   65.4mph, Length= 19.8',
1:  06:15:39.17   64.2mph, Length= 39.9',
1:  06:16:33.07   63.0mph, Length= 18.6',
2:  06:17:15.45   65.6mph, Length= 15.0',
1:  06:17:19.14   71.0mph, Length= 12.6',
1:  06:17:19.93   70.9mph, Length=  0.0',
2:  06:17:26.57   72.6mph, Length= 15.3',
2:  06:17:50.63   66.7mph, Length= 33.7',
1:  06:18:04.46   61.8mph, Length= 27.6',
1:  06:18:21.28   69.5mph, Length= 67.0',
1:  06:19:05.96   64.2mph, Length= 71.5',
1:  06:19:17.70   68.2mph, Length= 15.7',
1:  06:19:19.69   68.2mph, Length= 17.0',
1:  06:19:36.87   68.1mph, Length= 64.2',
1:  06:19:41.80   68.2mph, Length= 33.8',
2:  06:20:15.08   72.6mph, Length= 15.5',
1:  06:20:22.75   68.2mph, Length= 13.4',
1:  06:20:31.22   71.0mph, Length= 29.6',
1:  06:21:24.32   65.5mph, Length= 12.1',
1:  06:21:33.54   69.5mph, Length= 15.8',
1:  06:22:05.82   68.2mph, Length= 14.9',
1:  06:22:57.88   66.8mph, Length= 12.4',
1:  06:23:00.08   69.5mph, Length= 12.0',
2:  06:23:07.96   75.9mph, Length= 16.2',
1:  06:23:12.42   68.2mph, Length= 14.2',
1:  06:23:13.55   66.8mph, Length= 17.2',
2:  06:23:21.95   72.6mph, Length= 12.8',
1:  06:23:32.82   68.1mph, Length= 16.8',
2:  06:23:35.30   75.9mph, Length= 12.7',
1:  06:23:36.20   71.1mph, Length= 11.7',
2:  06:24:31.54   81.4mph, Length= 15.9',
1:  06:24:33.07   69.6mph, Length= 14.6',
1:  06:24:43.90   68.1mph, Length= 15.4',
1:  06:25:06.74   75.9mph, Length= 12.6',
1:  06:25:20.64   68.2mph, Length= 13.6',
1:  06:26:05.33   64.2mph, Length= 16.0',
2:  06:26:06.09   69.5mph, Length= 19.4',
1:  06:26:07.25   64.2mph, Length= 10.5',
1:  06:26:08.41   63.1mph, Length= 17.2',
2:  06:26:08.72   68.2mph, Length= 12.5',
1:  06:26:17.19   69.6mph, Length= 35.0',
1:  06:26:28.56   68.2mph, Length= 12.9',
1:  06:27:54.52   65.4mph, Length= 16.8',
1:  06:28:19.06   68.2mph, Length= 14.1',
1:  06:28:42.42   69.6mph, Length= 12.3',
2:  06:29:23.52   66.9mph, Length= 11.6',
2:  06:29:47.11   68.1mph, Length= 16.5',
2:  06:30:09.87   69.6mph, Length= 15.5',
2:  06:30:39.22   68.2mph, Length=  9.5',
1:  06:30:39.98   66.8mph, Length= 39.8',
1:  06:31:06.86   79.3mph, Length=  9.8',
1:  06:31:08.48   65.5mph, Length= 17.6',
1:  06:31:16.17   66.8mph, Length= 16.4',
2:  06:31:32.69   66.8mph, Length= 13.0',
2:  06:32:25.96   69.6mph, Length= 12.8',
1:  06:33:23.49   65.4mph, Length= 16.7',
1:  06:33:25.13   65.6mph, Length= 15.0',
1:  06:33:29.23   63.1mph, Length= 12.0',
1:  06:34:06.17   64.3mph, Length= 20.3',
1:  06:34:07.37   65.5mph, Length= 14.9',
1:  06:34:30.64   68.1mph, Length= 16.0',
1:  06:35:15.29   66.7mph, Length= 29.2',
1:  06:36:01.19   66.7mph, Length= 16.4',
1:  06:36:08.69   66.9mph, Length= 13.4',
2:  06:36:21.74   64.2mph, Length= 67.1',
1:  06:36:48.76   69.5mph, Length= 15.6',
1:  06:36:53.98   68.1mph, Length= 13.9',
1:  06:37:17.45   68.2mph, Length= 13.1',
1:  06:37:49.64   68.1mph, Length= 11.8',
1:  06:37:53.48   66.7mph, Length= 14.6',
1:  06:38:14.82   63.0mph, Length= 32.8',
1:  06:38:17.56   64.3mph, Length= 14.3',
1:  06:38:23.97   60.8mph, Length= 16.4',
1:  06:38:25.12   60.8mph, Length= 11.3',
2:  06:38:27.71   68.1mph, Length= 16.5',
1:  06:38:45.38   68.2mph, Length= 15.5',
1:  06:38:51.31   71.0mph, Length= 13.9',
1:  06:38:54.48   71.0mph, Length= 10.9',
1:  06:39:05.99   71.0mph, Length= 17.8',
1:  06:40:29.92   60.7mph, Length= 71.5',
2:  06:41:06.11   69.5mph, Length= 11.8',
2:  06:41:17.78   72.6mph, Length= 15.9',
1:  06:41:28.25   68.1mph, Length= 12.8',
1:  06:41:31.06   66.8mph, Length= 15.1',
1:  06:41:46.97   65.4mph, Length= 28.0',
1:  06:41:47.76  SnMis #2      Info:
1:  06:41:50.08   68.1mph, Length= 12.8',
1:  06:42:00.00   65.5mph, Length= 14.7',
1:  06:42:34.24   64.2mph, Length= 25.6',
1:  06:42:35.44   62.9mph, Length= 15.3',
1:  06:42:39.03   69.7mph, Length= 13.9',
2:  06:43:06.36   79.3mph, Length= 11.7',
1:  06:43:52.85   66.8mph, Length= 75.5',
2:  06:44:04.53   77.7mph, Length= 13.5',
2:  06:45:01.35   64.2mph, Length= 11.4',
2:  06:45:07.52   69.5mph, Length= 10.2',
2:  06:45:20.98   58.7mph, Length= 16.1',
2:  06:45:22.45   58.6mph, Length= 21.8',
2:  06:45:23.06  SnMis #2      Info:
1:  06:45:23.06   63.1mph, Length= 16.0',
2:  06:45:30.42   69.5mph, Length= 15.3',
2:  06:46:04.36   65.4mph, Length= 18.9',
1:  06:46:12.54   61.8mph, Length= 16.4',
1:  06:46:41.61   66.7mph, Length= 18.9',
1:  06:47:20.76   71.0mph, Length= 17.9',
1:  06:48:24.52   63.0mph, Length= 31.9',
1:  06:48:27.12   59.6mph, Length= 14.2',
1:  06:48:58.74   69.6mph, Length= 11.5',
1:  06:49:25.84   69.8mph, Length= 14.7',
1:  06:49:52.51   65.5mph, Length= 14.0',
1:  06:50:06.78   68.1mph, Length= 17.6',
1:  06:52:08.14   63.0mph, Length= 14.5',
1:  06:52:09.72   65.4mph, Length= 37.3',
2:  06:52:26.66   69.7mph, Length= 13.0',
2:  06:52:55.02   69.7mph, Length= 14.5',
1:  06:53:14.12   71.0mph, Length= 15.6',
1:  06:53:36.82   66.7mph, Length= 16.8',
1:  06:53:42.10   71.2mph, Length= 12.7',
1:  06:53:43.65   69.5mph, Length= 14.5',
2:  06:54:02.67   72.6mph, Length= 13.3',
1:  06:54:08.35   69.6mph, Length= 17.1',
1:  06:54:29.35   65.4mph, Length= 12.2',
1:  06:54:46.94   61.8mph, Length= 48.6',
1:  06:54:49.66   62.9mph, Length= 32.8',
1:  06:54:51.24   61.8mph, Length= 13.5',
1:  06:55:23.58   65.4mph, Length= 68.9',
1:  06:55:39.97   68.0mph, Length= 17.0',
1:  06:55:43.07   68.1mph, Length= 17.8',
1:  06:56:06.69   69.5mph, Length= 34.5',
1:  06:57:02.94   64.2mph, Length= 14.3',
1:  06:57:05.88   68.0mph, Length= 15.0',
2:  06:57:55.02   59.6mph, Length= 12.8',
2:  06:57:58.05   58.7mph, Length= 13.2',
1:  06:58:02.65   57.6mph, Length= 35.4',
2:  06:58:37.77   69.5mph, Length= 19.3',
2:  06:58:48.38   58.7mph, Length= 23.3',
2:  07:00:56.49   70.9mph, Length= 11.2',
1:  07:02:10.32   66.7mph, Length= 11.8',
1:  07:03:03.01   58.6mph, Length= 40.7',
