Data File:,'13211512 WB EB 2388N.rdf'
Site Code:,'13211512'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11A'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
91,EB,5/28/2015 4:45:02.747,2,583,2,64.45,218.56,218.66,-11.78,8.72
92,EB,5/28/2015 4:46:47.429,2,588,3,67.03,104.59,104.68,1.08,12.22
93,WB,5/28/2015 4:47:40.198,2,588,3,59.95,385.84,385.98,-0.86,10.98
94,WB,5/28/2015 4:48:16.960,2,588,3,73.01,36.64,36.76,-13.26,10.02
95,WB,5/28/2015 4:48:25.542,2,583,2,61.60,8.49,8.58,-7.46,9.42
96,EB,5/28/2015 4:49:36.813,2,583,2,68.25,169.26,169.38,-9.55,8.59
97,WB,5/28/2015 4:52:53.206,2,583,2,63.47,267.56,267.66,-13.22,8.23
98,EB,5/28/2015 4:56:08.405,2,583,2,72.85,391.51,391.59,-11.20,8.89
99,EB,5/28/2015 4:57:56.918,2,583,2,69.10,108.43,108.51,-12.51,9.01
100,WB,5/28/2015 4:59:53.594,2,583,2,54.94,420.30,420.39,-3.99,8.99
101,WB,5/28/2015 5:02:03.729,2,583,2,62.41,130.02,130.14,-7.08,8.87
102,EB,5/28/2015 5:04:05.151,2,583,2,58.90,368.14,368.23,-5.65,7.81
103,EB,5/28/2015 5:06:41.183,2,583,2,58.28,155.94,156.03,-8.73,8.72
104,EB,5/28/2015 5:06:57.407,2,583,2,67.57,16.12,16.22,-4.93,8.13
105,WB,5/28/2015 5:07:33.529,2,583,2,73.33,329.70,329.80,-17.20,8.77
106,EB,5/28/2015 5:07:50.489,2,583,2,65.58,53.00,53.08,-16.94,7.77
107,EB,5/28/2015 5:07:51.442,2,583,2,66.63,0.87,0.95,-11.52,8.78
108,EB,5/28/2015 5:08:39.955,2,588,3,59.74,48.42,48.51,-1.80,10.30
109,EB,5/28/2015 5:08:59.707,2,588,3,64.82,19.63,19.75,-0.99,11.97
110,WB,5/28/2015 5:10:04.077,2,583,2,58.18,150.47,150.55,-8.60,8.81
111,EB,5/28/2015 5:10:26.623,2,583,2,58.90,86.79,86.92,-10.85,8.81
112,EB,5/28/2015 5:11:14.682,2,581,1,52.45,47.96,48.06,-8.96,5.53
113,EB,5/28/2015 5:13:41.997,2,583,2,61.38,147.24,147.32,-7.55,9.21
114,WB,5/28/2015 5:14:25.282,2,583,2,67.16,261.10,261.20,-12.01,8.62
115,WB,5/28/2015 5:16:09.664,2,588,3,67.57,104.29,104.38,-4.55,11.74
116,WB,5/28/2015 5:16:11.300,3,605,8,69.53,1.52,1.64,-2.12,13.21,14.13
117,EB,5/28/2015 5:16:24.025,2,588,3,70.26,161.92,162.03,2.49,12.26
118,EB,5/28/2015 5:17:53.393,2,592,4,60.82,89.25,89.37,-1.70,22.92
119,WB,5/28/2015 5:19:47.875,2,583,2,56.80,216.31,216.57,-6.15,8.97
120,EB,5/28/2015 5:20:30.070,2,583,2,59.11,156.42,156.68,-9.38,8.47
121,EB,5/28/2015 5:20:56.811,2,583,2,57.19,26.64,26.74,-4.68,8.63
122,WB,5/28/2015 5:21:33.964,2,583,2,61.72,105.98,106.09,-10.60,8.52
123,WB,5/28/2015 5:21:36.106,2,583,2,57.19,2.05,2.14,-9.33,9.39
124,WB,5/28/2015 5:21:43.387,2,588,3,58.18,7.17,7.28,-5.14,11.52
125,EB,5/28/2015 5:23:31.416,2,600,5,61.95,154.50,154.61,1.59,13.17
126,WB,5/28/2015 5:23:34.654,2,583,2,64.08,111.13,111.27,-10.30,9.81
127,WB,5/28/2015 5:23:48.432,2,583,2,55.39,13.67,13.78,-8.21,7.98
128,WB,5/28/2015 5:24:09.157,2,588,3,58.28,20.63,20.72,1.57,11.07
129,EB,5/28/2015 5:26:20.078,2,583,2,56.61,168.52,168.66,-4.35,9.02
130,WB,5/28/2015 5:26:44.630,2,588,3,48.43,155.34,155.47,-1.36,10.88
131,WB,5/28/2015 5:26:51.983,4,609,8,57.19,7.20,7.35,-0.27,10.94,15.57,4.29
132,WB,5/28/2015 5:27:12.984,4,610,8,58.69,20.63,21.00,-0.00,14.48,13.93,4.11
133,WB,5/28/2015 5:27:14.589,2,583,2,61.27,1.23,1.60,-8.76,8.99
134,WB,5/28/2015 5:27:30.265,2,588,3,62.29,15.58,15.68,-0.97,10.90
135,WB,5/28/2015 5:27:31.998,2,600,5,63.96,1.61,1.73,1.60,14.43
136,EB,5/28/2015 5:30:48.796,2,588,3,70.70,268.61,268.72,-0.00,10.84
137,WB,5/28/2015 5:31:39.669,2,583,2,56.32,247.52,247.67,-8.25,8.34
138,WB,5/28/2015 5:31:41.647,2,588,3,55.39,1.88,1.98,1.92,11.73
139,WB,5/28/2015 5:31:58.370,2,583,2,54.40,16.58,16.72,-4.76,8.75
140,EB,5/28/2015 5:32:00.051,2,583,2,68.67,71.15,71.26,-14.26,8.70
141,EB,5/28/2015 5:32:50.343,2,583,2,66.89,50.21,50.29,-11.62,8.80
142,EB,5/28/2015 5:33:07.132,2,583,2,55.21,16.70,16.79,-6.66,8.68
143,WB,5/28/2015 5:34:38.818,2,583,2,65.20,160.34,160.45,-8.69,9.57
144,EB,5/28/2015 5:34:54.646,2,583,2,62.99,107.41,107.51,-8.67,9.87
145,WB,5/28/2015 5:34:58.678,2,581,1,55.03,19.76,19.86,19.74,4.57
146,WB,5/28/2015 5:34:59.833,2,583,2,61.15,1.10,1.16,-9.69,9.07
147,EB,5/28/2015 5:36:56.095,3,605,8,68.81,121.34,121.45,2.27,19.12,32.54
148,WB,5/28/2015 5:37:06.255,2,600,5,68.39,126.32,126.42,-3.19,13.03
149,WB,5/28/2015 5:37:27.731,2,583,2,60.49,21.35,21.48,-6.48,8.82
150,EB,5/28/2015 5:37:39.997,2,588,3,63.71,43.40,43.90,0.96,11.81
151,EB,5/28/2015 5:38:12.419,2,583,2,67.98,32.30,32.42,-9.06,8.94
152,EB,5/28/2015 5:39:34.272,2,588,3,65.20,81.76,81.85,3.44,10.67
153,WB,5/28/2015 5:40:20.970,5,613,9,63.11,173.14,173.24,4.45,18.35,4.44,32.41,4.36
154,WB,5/28/2015 5:40:30.038,2,600,5,57.98,8.42,9.07,-2.57,13.15
155,WB,5/28/2015 5:40:32.986,2,583,2,62.06,2.79,2.95,-11.31,9.87
156,WB,5/28/2015 5:40:35.810,2,583,2,59.63,2.71,2.82,-7.80,9.32
157,WB,5/28/2015 5:42:45.106,4,610,8,61.38,129.19,129.30,-2.33,14.27,24.15,4.18
158,WB,5/28/2015 5:43:22.843,2,588,3,69.96,37.26,37.74,-2.61,11.40
159,WB,5/28/2015 5:44:28.326,2,583,2,56.14,65.37,65.48,-8.71,8.67
160,WB,5/28/2015 5:44:51.908,2,583,2,62.06,23.48,23.58,-9.38,8.72
161,WB,5/28/2015 5:44:54.050,2,583,2,70.40,2.05,2.14,-14.42,8.26
162,EB,5/28/2015 5:45:08.362,2,600,5,76.17,333.98,334.09,4.50,13.03
163,EB,5/28/2015 5:45:11.786,2,588,3,79.60,3.31,3.42,-17.10,10.04
