Data File:,'13211528 SB 2388N.rdf'
Site Code:,'17E SB1 SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
131,SB1,6/11/2015 5:11:22.979,2,600,5,72.23,78.01,78.11,-1.68,19.55
132,SB1,6/11/2015 5:11:52.782,7,633,13,64.57,29.62,29.80,-0.12,13.18,22.03,9.85,22.55,9.65,22.98
133,SB1,6/11/2015 5:13:48.753,4,608,8,66.89,114.91,115.97,1.01,19.44,4.41,28.54
134,SB1,6/11/2015 5:18:18.112,3,601,6,65.07,268.83,269.36,4.73,19.39,4.19
135,SB1,6/11/2015 5:21:14.150,6,617,10,61.38,175.79,176.04,-1.55,16.78,4.17,4.69,27.55,4.05
136,SB1,6/11/2015 5:21:23.531,4,608,8,60.27,8.74,9.38,-0.80,14.77,4.16,28.50
137,SB1,6/11/2015 5:22:50.663,5,614,9,64.82,86.60,87.13,3.78,10.75,8.01,4.13,19.16
138,SB1,6/11/2015 5:22:53.606,2,592,4,64.57,2.50,2.94,1.09,21.79
139,SB1,6/11/2015 5:25:00.398,5,627,11,65.71,126.56,126.79,0.18,13.31,22.29,9.02,22.60
140,SB1,6/11/2015 5:25:52.015,2,600,5,52.45,50.91,51.62,0.74,17.13
141,SB1,6/11/2015 5:28:58.907,5,613,9,57.29,186.67,186.89,-0.28,17.52,4.40,33.11,3.90
142,SB2,6/11/2015 5:29:09.336,3,605,8,56.90,1484.30,1484.37,-0.23,17.28,18.26
143,SB1,6/11/2015 5:30:22.936,2,581,1,69.38,83.33,84.03,-39.67,4.60
144,SB1,6/11/2015 5:32:49.090,2,583,2,67.29,146.11,146.15,-12.59,9.28
145,SB1,6/11/2015 5:33:59.497,6,630,12,61.95,70.31,70.41,-0.46,13.39,22.12,9.12,4.10,17.90
146,SB1,6/11/2015 5:35:10.289,6,617,10,65.07,70.05,70.79,-0.45,17.86,4.22,4.39,21.91,4.30
147,SB1,6/11/2015 5:35:34.798,2,600,5,67.03,23.95,24.51,-11.36,12.35
148,SB2,6/11/2015 5:35:51.046,2,583,2,84.63,401.28,401.71,-19.99,9.05
149,SB1,6/11/2015 5:37:42.845,5,613,9,60.49,127.92,128.05,0.00,15.95,4.16,34.36,3.91
150,SB1,6/11/2015 5:37:42.889,2,600,5,56.80,0.00,0.04,2.11,19.23
151,SB1,6/11/2015 5:38:50.292,5,627,11,58.59,67.17,67.40,-0.50,13.18,24.58,9.71,22.64
152,SB1,6/11/2015 5:38:50.488,2,592,4,56.14,0.00,0.20,3.14,33.13
153,SB1,6/11/2015 5:39:28.088,5,613,9,64.45,37.20,37.60,2.15,20.58,4.11,38.32,4.11
154,SB2,6/11/2015 5:40:56.656,2,583,2,78.85,305.54,305.61,-16.12,9.09
155,SB1,6/11/2015 5:43:48.541,2,592,4,35.02,259.74,260.45,-0.31,35.78
156,SB1,6/11/2015 5:43:48.710,2,592,4,28.57,0.00,0.17,5.82,30.00
