Month,Day,Time,Lane,Class,Speed,Length,Headway,Direction
7,10,9:18:23 AM,1,3,61,4363,14,EB
7,10,9:20:02 AM,1,2,69,1615,99,EB
7,10,9:20:05 AM,1,5,61,2001,3,EB
7,10,9:20:46 AM,1,2,0,1226,41,EB
7,10,9:21:36 AM,1,2,72,1874,50,EB
7,10,9:21:59 AM,1,2,72,1692,23,EB
7,10,9:22:55 AM,1,5,57,4372,56,EB
7,10,9:22:57 AM,1,3,54,2102,2,EB
7,10,9:22:59 AM,1,3,57,4508,2,EB
7,10,9:23:01 AM,1,3,56,4050,2,EB
7,10,9:25:41 AM,1,2,72,1682,160,EB
7,10,9:25:48 AM,1,2,71,1732,7,EB
7,10,9:26:14 AM,1,9,61,5341,26,EB
7,10,9:26:17 AM,1,3,64,1998,3,EB
7,10,9:28:19 AM,1,3,69,3355,122,EB
7,10,9:28:26 AM,1,2,71,1742,7,EB
7,10,9:28:39 AM,1,3,69,2128,13,EB
7,10,9:29:16 AM,1,2,65,1848,37,EB
7,10,9:29:19 AM,1,5,57,5294,3,EB
7,10,9:29:23 AM,1,2,57,1689,4,EB
7,10,9:29:24 AM,1,2,57,1425,1,EB
7,10,9:29:26 AM,1,3,57,2039,2,EB
7,10,9:29:30 AM,1,9,54,6948,4,EB
7,10,9:30:21 AM,1,5,39,1889,51,EB
7,10,9:31:06 AM,1,2,64,1837,45,EB
7,10,9:31:18 AM,1,2,70,1670,12,EB
7,10,9:31:36 AM,1,9,63,6660,18,EB
7,10,9:32:42 AM,1,5,46,4117,66,EB
7,10,9:32:43 AM,1,5,47,2030,1,EB
7,10,9:32:44 AM,1,2,0,808,1,EB
7,10,9:32:48 AM,1,3,49,2132,4,EB
7,10,9:35:52 AM,1,3,72,1853,184,EB
7,10,9:35:56 AM,1,3,71,3678,4,EB
7,10,9:37:17 AM,1,3,79,2027,81,EB
7,10,9:38:17 AM,1,3,68,2150,60,EB
7,10,9:38:27 AM,1,13,65,10553,10,EB
7,10,9:39:06 AM,1,2,77,1742,39,EB
7,10,9:39:18 AM,1,2,70,1531,12,EB
7,10,9:39:44 AM,1,2,72,1513,26,EB
7,10,9:39:55 AM,1,3,69,2061,11,EB
7,10,9:40:43 AM,1,2,70,1536,48,EB
7,10,9:41:24 AM,1,3,72,1837,41,EB
7,10,9:41:25 AM,1,2,69,1540,1,EB
7,10,9:41:30 AM,1,5,71,2180,5,EB
7,10,9:42:01 AM,1,14,61,5829,31,EB
7,10,9:43:25 AM,1,2,65,1608,84,EB
7,10,9:44:08 AM,1,3,73,1864,43,EB
7,10,9:44:19 AM,1,2,69,1743,11,EB
7,10,9:44:29 AM,1,9,64,6971,10,EB
7,10,9:44:45 AM,1,9,65,7393,16,EB
7,10,9:45:47 AM,1,3,63,1804,62,EB
7,10,9:47:36 AM,1,3,64,2080,109,EB
7,10,9:48:08 AM,1,5,71,1884,32,EB
7,10,9:49:52 AM,1,2,68,1810,104,EB
7,10,9:49:54 AM,1,2,68,1663,2,EB
7,10,9:50:12 AM,1,5,67,1943,18,EB
7,10,9:50:15 AM,1,2,72,1666,3,EB
7,10,9:50:17 AM,1,3,72,3382,2,EB
7,10,9:50:20 AM,1,2,67,1622,3,EB
7,10,9:50:22 AM,1,2,67,1696,2,EB
