Month,Day,Time,Lane,Class,Speed,Length,Headway,Direction
7,10,9:38:05 AM,1,3,80,1636,66,WB
7,10,9:38:32 AM,1,3,71,1756,27,WB
7,10,9:38:34 AM,1,3,69,1726,2,WB
7,10,9:38:35 AM,1,3,71,1876,1,WB
7,10,9:40:18 AM,1,2,75,1338,103,WB
7,10,9:40:21 AM,1,2,71,1307,3,WB
7,10,9:40:33 AM,1,2,71,1392,12,WB
7,10,9:41:19 AM,1,3,59,1438,46,WB
7,10,9:41:32 AM,1,3,68,1542,13,WB
7,10,9:41:37 AM,1,2,80,1422,5,WB
7,10,9:41:49 AM,1,2,80,1338,12,WB
7,10,9:42:02 AM,1,2,82,1371,13,WB
7,10,9:42:07 AM,1,2,70,1451,5,WB
7,10,9:42:23 AM,1,2,75,1470,16,WB
7,10,9:42:37 AM,1,2,71,1505,14,WB
7,10,9:43:16 AM,1,2,65,1346,39,WB
7,10,9:45:43 AM,1,2,68,1390,147,WB
7,10,9:46:23 AM,1,2,72,1488,40,WB
7,10,9:46:35 AM,1,2,70,1612,12,WB
7,10,9:47:16 AM,1,2,57,1444,41,WB
7,10,9:47:54 AM,1,3,65,1588,38,WB
7,10,9:47:59 AM,1,3,74,3857,5,WB
7,10,9:48:06 AM,1,2,71,1528,7,WB
7,10,9:48:17 AM,1,3,53,1670,11,WB
7,10,9:49:34 AM,1,13,59,10009,77,WB
7,10,9:49:37 AM,1,3,62,1854,3,WB
7,10,9:49:39 AM,1,2,59,1652,2,WB
7,10,9:49:51 AM,1,5,56,4986,12,WB
7,10,9:49:53 AM,1,2,59,1412,2,WB
7,10,9:50:08 AM,1,2,73,1341,15,WB
7,10,9:50:21 AM,1,2,70,1405,13,WB
7,10,9:50:25 AM,1,2,72,1403,4,WB
7,10,9:50:36 AM,1,2,68,1570,11,WB
7,10,9:51:11 AM,1,2,73,1639,35,WB
7,10,9:52:36 AM,1,3,62,1480,85,WB
7,10,9:52:59 AM,1,3,69,4265,23,WB
7,10,9:53:37 AM,1,2,64,1575,38,WB
7,10,9:53:39 AM,1,2,69,1511,2,WB
7,10,9:53:43 AM,1,2,71,1392,4,WB
7,10,9:54:08 AM,1,3,75,1673,25,WB
7,10,9:54:33 AM,1,2,70,1550,25,WB
7,10,9:54:43 AM,1,2,78,1538,10,WB
7,10,9:55:51 AM,1,3,71,1807,68,WB
7,10,9:56:04 AM,1,2,74,1473,13,WB
7,10,9:57:13 AM,1,2,67,1490,69,WB
7,10,9:58:19 AM,1,3,73,1698,66,WB
7,10,9:58:40 AM,1,3,65,3237,21,WB
7,10,9:58:52 AM,1,2,61,1254,12,WB
7,10,9:59:14 AM,1,3,68,1640,22,WB
7,11,9:01:10 AM,1,2,68,1572,106,WB
7,11,9:02:22 AM,1,3,67,1597,72,WB
7,11,9:02:48 AM,1,2,73,1493,26,WB
7,11,9:03:05 AM,1,3,72,1616,17,WB
7,11,9:05:08 AM,1,2,65,1614,123,WB
